@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.526,0.369,0.000,0.146328
26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.384,0.231,0.191,0.141438
34,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0.058,0.380,0.140739
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.134,0.401,0.162549
16,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.375,0.249,0.250,0.170643
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.300,0.200,0.194651
14,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.499,0.357,0.071,0.152379
14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0.142,0.427,0.282148
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.154,0.539,0.257454
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0.308,0.154,0.239277
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0.118,0.177,0.138638
19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.264,0.421,0.317,0.187768
24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0.042,0.418,0.143763
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0.285,0.285,0.141097
41,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0.439,0.072,0.244,0.138000
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.106,0.370,0.137716
14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.428,0.500,0.071,0.183115
9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.222,0.222,0.191026
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.182,0.159315
17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0.236,0.118,0.136570
22,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.272,0.545,0.135,0.149323
27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.185,0.333,0.153726
16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0.062,0.250,0.135365
19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.369,0.211,0.371,0.157754
14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.213,0.213,0.160651
14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.428,0.356,0.213,0.185269
14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.071,0.356,0.141605
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.249,0.500,0.234741
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0.059,0.295,0.137562
24,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0.584,0.125,0.209,0.152300
23,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.434,0.260,0.302,0.135811
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0.264,0.158,0.332812
23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0.086,0.303,0.146266
20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.450,0.250,0.250,0.151292
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.091,0.091,0.156723
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0.267,0.267,0.146675
18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0.112,0.501,0.151727
19,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.369,0.211,0.368,0.136873
15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.134,0.334,0.143535
17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.530,0.177,0.235,0.157468
19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.423,0.263,0.316,0.183106
20,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.250,0.250,0.138536
18,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.445,0.279,0.279,0.140358
9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.444,0.444,0.111,0.221851
17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.413,0.353,0.236,0.133497
19,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.421,0.421,0.158,0.168452
13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0.154,0.308,0.147430
21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.381,0.286,0.334,0.180234
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.249,0.166,0.149377
19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0.158,0.212,0.133299
12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.416,0.166,0.416,0.169343
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0.186,0.062,0.188418
16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.187,0.374,0.141581
17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.353,0.471,0.172324
21,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.382,0.191,0.381,0.163368
15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.533,0.267,0.201,0.133263
19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.264,0.316,0.153531
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.316,0.263,0.131880
10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.300,0.200,0.202609
38,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0.157,0.395,0.151109
24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.334,0.292,0.251,0.165761
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.624,0.124,0.186,0.145167
32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.531,0.062,0.343,0.131762
19,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.422,0.317,0.212,0.175314
18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.167,0.501,0.158917
19,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.474,0.264,0.158,0.131233
12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.249,0.416,0.194113
8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.000,0.177501
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.416,0.333,0.166,0.167200
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.200,0.180516
20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.450,0.300,0.250,0.146333
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.250,0.375,0.220928
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.375,0.216546
